year,Avg_Count
1950,5
1951,2.4
1952,2
1953,2.83333333333333
1954,2.375
1955,3.8
1956,2.42857142857143
1957,3.4
1958,3.625
1959,3.5
1960,1.88888888888889
1961,2.16666666666667
1962,2.66666666666667
1963,3
1964,1.8
1965,1.33333333333333
1966,3.25
1967,1.33333333333333
1968,2.27272727272727
1969,1.83333333333333
1970,1.57142857142857
1971,2.33333333333333
1972,2.9
1973,3.25
1974,2.78571428571429
1975,4.46153846153846
1976,3.53333333333333
1977,4.4375
1978,4.69230769230769
1979,3.57142857142857
1980,3.83333333333333
1981,4.78571428571429
1982,5
1983,2.92857142857143
1984,3.6
1985,3.4
1986,2.6
1987,2.57142857142857
1988,2.78571428571429
1989,4.66666666666667
1990,3.73333333333333
1991,3.46666666666667
1992,4.86666666666667
1993,5.4375
1994,6.06666666666667
1995,4.70588235294118
1996,5.07142857142857
1997,4.1875
1998,4.38461538461539
1999,3.85714285714286
2000,3.5625
2001,3.28571428571429
2002,2.92857142857143
2003,3.33333333333333
2004,2.57142857142857
2005,2.66666666666667
2006,3.4
2007,2.8
2008,3
2009,3.27272727272727
2010,2.31578947368421
2011,2.38461538461538
2012,3.53846153846154
2013,1.625
2014,2.4
2015,1.83333333333333
2016,2.15384615384615
2017,2.26666666666667
2018,2.06666666666667
2019,2
2020,2
2021,2
2022,2
