year,Avg_Sum_takeover_number,Avg_Sum_takeover_weight
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,142.6875,788.5
1997,182.882352941176,1090.82352941176
1998,138.125,766.875
1999,160.5625,892.25
2000,185.941176470588,1081.41176470588
2001,161.705882352941,937
2002,159.352941176471,884.823529411765
2003,204.9375,1229.375
2004,198.944444444444,1242.22222222222
2005,144.052631578947,873.947368421053
2006,166.777777777778,1040.27777777778
2007,195.470588235294,1231.70588235294
2008,193.666666666667,1224
2009,182.470588235294,1148.94117647059
2010,174.210526315789,1116.47368421053
2011,265.789473684211,1868.05263157895
2012,284.9,1942.6
2013,265.578947368421,1784.10526315789
2014,223.631578947368,1406.26315789474
2015,165.105263157895,964.789473684211
2016,246.238095238095,1557.04761904762
2017,131.65,754.55
2018,147.952380952381,859.238095238095
2019,167.714285714286,1022.95238095238
2020,172.764705882353,1010.94117647059
2021,150,916.318181818182
2022,185.272727272727,1111.09090909091
