year,Avg_Avg_fastestLapSpeed
1950,
1951,
1952,
1953,
1954,
1955,
1956,
1957,
1958,
1959,
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,211.379016406758
2005,209.201815943367
2006,204.608551049341
2007,202.658019380001
2008,201.519399260679
2009,202.245044163176
2010,197.302107763167
2011,195.638313917204
2012,196.09884646151
2013,197.988152198678
2014,193.84265588213
2015,195.354301741295
2016,197.176924996474
2017,204.960450636395
2018,207.345745081658
2019,207.742202729045
2020,215.919040247678
2021,210.912853562478
2022,205.702084310598
